Gene ID	'10 day' vs '7 day' in 'wild type' .foldChange	'12 day' vs '7 day' in 'wild type' .foldChange	'13 day' vs '7 day' in 'wild type' .foldChange	'15 day' vs '7 day' in 'wild type' .foldChange	'8 day' vs '7 day' in 'wild type' .foldChange	'val1 mutant' vs 'wild type' at '10 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '13 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '15 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '7 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '8 days after pollination' .foldChange
AT4G36105	3.3	NA	NA	NA	NA	NA				
AT4G36120	-2.5	-3.7	-6.5	-7.9	NA	NA				
AT4G36130	-2.4	-2.7	-2.6	-3.1	NA	NA				
AT4G36150	NA	NA	-1.6	-1.7	NA	NA				
AT4G36160	1.3	NA	NA	NA	NA	NA				
AT4G36180	NA	-1.2	-2.5	-6.2	NA	NA		1.5		
AT4G36190	1.5	1.7	1.6	NA	NA	NA				
AT4G36195	2.4	2.9	3.1	3.5	NA	NA				
AT4G36210	2.5	3.4	4.1	5	NA	NA				
AT4G36220	1.5	1.8	1.7	2.3	NA	NA				
AT4G36230	6	4.6	NA	NA	NA	NA				
AT4G36240	-2.2	-4.1	-7.1	-7	NA	NA				
AT4G36250	-3.3	-5.5	-6.6	-1.7	NA	NA				
AT4G36260	NA	NA	NA	1.3	NA	NA				
AT4G36270	NA	NA	NA	-2.1	NA	NA		1.2		
AT4G36280	2.2	1.7	NA	-2.1	NA	NA		1.8		
AT4G36360	3.5	4.9	5.4	5.5	NA	NA				
AT4G36380	1.2	3.2	3.9	3.9	NA	NA				
AT4G36400	1.2	NA	NA	NA	NA	NA				
AT4G36420	-1.6	-1.3	-1.3	-1.1	NA	NA				
AT4G36470	NA	-2.2	NA	NA	NA	NA				
AT4G36490	-2.3	-2.7	-3.5	-5.8	NA	NA				
AT4G36500	-2.9	-3.1	-5.5	-3.1	NA	NA				
AT4G36515	NA	NA	1.3	2.2	NA	NA				
AT4G36530	1.2	1.8	2.5	3.4	NA	NA				
AT4G36550	NA	NA	NA	-1.6	NA	NA				
AT4G36580	-1.9	NA	NA	1.4	NA	NA				
AT4G36590	NA	NA	NA	NA	NA	NA	-1.5			
AT4G36600	NA	5	7.5	12.8	NA	NA				
AT4G36610	6.9	7.5	4.5	NA	NA	NA				
AT4G36620	1.3	1.2	1.3	5	NA	NA		-1.2		
AT4G36640	NA	-2.4	-3.7	-4	NA	NA				
AT4G36648	2.7	3.3	3.3	3.6	NA	NA				
AT4G36680	-1.7	-1.6	-1.4	NA	NA	NA				
AT4G36700	3.5	3.9	3.4	1.2	1.3	NA				
AT4G36710	1.9	NA	NA	1.7	NA	NA				
AT4G36720	NA	NA	NA	2.5	NA	NA				
AT4G36730	NA	-1.5	-1.5	-1.8	NA	NA				
AT4G36740	NA	-1.9	-2	-4.5	NA	1.1	1.6			
AT4G36780	NA	1.2	1.3	1.5	NA	NA				
AT4G36790	NA	NA	NA	2.2	NA	NA				
AT4G36810	-1.7	-3.8	-5.1	-7.5	NA	NA				
AT4G36830	NA	NA	NA	-3.3	NA	NA	1.1			
AT4G36850	4.2	5.2	6.2	6.6	1.5	NA				
AT4G36860	1.4	1.9	2.2	2	NA	NA				
AT4G36880	-5.7	-6.3	-7.4	-6.5	-1.3	NA				
AT4G36900	2.2	3.4	4.3	6.2	NA	NA				
AT4G36910	NA	NA	NA	1.3	NA	NA				
AT4G36920	-1.8	-2.4	-3.2	-6.9	NA	NA				
AT4G36930	NA	NA	NA	-2.1	NA	NA				
AT4G36940	NA	NA	NA	-1.2	NA	NA				
AT4G36945	NA	1.4	2.1	1.1	NA	NA				
AT4G36950	1.2	1.9	NA	NA	NA	NA				
AT4G36980	1.6	1.8	2.1	1.9	NA	NA				
AT4G37022	NA	NA	3.6	4.8	NA	NA				
AT4G37030	NA	NA	1.9	2.4	NA	NA				
AT4G37040	-1.7	-2.2	-2.3	-2.2	NA	NA				
AT4G37050	NA	1.3	4	5.7	NA	NA	-1.5			
AT4G37070	NA	NA	NA	9.8	NA	NA				
AT4G37080	2.2	2.5	2.3	NA	NA	NA				
AT4G37090	-1.6	-1.4	NA	NA	NA	NA				
AT4G37095	NA	NA	NA	-1.2	NA	NA				
AT4G37100	NA	NA	NA	-1.5	NA	NA				
AT4G37110	-2.5	-3.6	-4.5	-8.3	NA	NA				
AT4G37130	-1.4	-1.3	-1.3	-1.2	NA	NA				
AT4G37150	1.8	1.8	NA	NA	1.3	NA				
AT4G37170	-3	-2.3	-1.6	NA	-1.1	NA				
AT4G37180	NA	NA	1.5	NA	NA	NA				
AT4G37190	-1.6	-1.3	NA	-1.1	NA	NA				
AT4G37200	NA	NA	NA	-1.2	NA	NA				
AT4G37210	-1.2	-1.2	NA	NA	NA	NA				
AT4G37220	NA	-3	NA	NA	NA	NA				
AT4G37225	-2.3	-3.6	-3.9	-3.9	NA	NA				
AT4G37240	-4.4	-7.1	-6.3	-7.3	NA	NA				
AT4G37250	2	2.3	2.2	1.4	NA	NA				
AT4G37300	NA	NA	NA	NA	NA	NA		1.1		
AT4G37310	NA	NA	NA	-3.9	NA	NA				
AT4G37320	NA	2.5	3.8	5.8	NA	NA				
AT4G37360	-3.9	-4.1	-3.4	-6.8	-1.3	NA				
AT4G37370	NA	NA	NA	4.9	NA	NA				
AT4G37380	-1.8	-1.2	NA	NA	NA	NA				
AT4G37390	-2.9	-5.3	-4.4	-2.3	NA	NA				
AT4G37420	NA	NA	5.3	11.4	NA	NA				
AT4G37430	NA	1.2	1.6	3	NA	NA				
AT4G37450	-2.5	-3.4	-4.3	-6.5	NA	NA				
AT4G37460	NA	1.1	1.2	1.1	NA	NA				
AT4G37470	NA	NA	NA	1.4	NA	NA				
AT4G37480	NA	1.2	1.6	1.7	NA	NA				
AT4G37483	NA	1.3	1.5	1.9	NA	NA				
AT4G37490	-3.3	-5	-5.5	-6.2	NA	NA				
AT4G37500	NA	5.2	5.9	NA	NA	NA	-1.2			
AT4G37510	-2.5	-2.7	-2.7	-2.6	NA	NA				
AT4G37520	NA	-2.7	-4.4	-7.4	NA	NA				
AT4G37540	NA	NA	NA	-4.7	NA	NA				
AT4G37550	1.1	NA	NA	NA	NA	NA				
AT4G37553	1.8	1.9	3.7	3.7	NA	NA				
AT4G37560	4.1	5.4	5.7	5.9	NA	NA				
AT4G37608	NA	NA	NA	1.3	NA	NA				
AT4G37610	-3.1	-3.4	-4.7	-4.7	NA	NA				
AT4G37620	NA	NA	NA	2.8	NA	NA				
AT4G37630	-2	-2.4	-2.5	-1.8	NA	NA				
AT4G37640	NA	-1.4	-2	-2.7	NA	NA				
AT4G37650	NA	NA	-1.2	-2.5	NA	NA				
AT4G37660	-2.6	-2.6	-2.5	-1.7	NA	NA				
AT4G37670	-1.4	-1.1	-1.1	-1.2	NA	NA				
AT4G37680	1.2	1.5	1.4	NA	NA	NA				
AT4G37682	NA	NA	NA	-1.9	NA	NA				
AT4G37685	NA	NA	NA	-1.8	NA	NA				
AT4G37730	2.7	2.4	NA	NA	NA	NA				
AT4G37740	NA	-1.8	-2.3	-3.5	NA	NA				
AT4G37750	-3.1	-4.7	-6.6	-8.9	NA	NA	1.6			
AT4G37760	1.9	3	3.4	4.1	NA	NA				
AT4G37790	4	4.5	3.8	2.7	NA	NA		1.3		
AT4G37810	-3.3	-3.9	-4.7	-6.9	NA	NA				
AT4G37820	1.3	1.5	1.3	NA	NA	NA				
AT4G37870	NA	NA	NA	1.8	NA	NA				
AT4G37890	NA	NA	1.4	1.4	NA	NA				
AT4G37895	NA	NA	NA	3.2	NA	NA				
AT4G37900	-2.1	-2.3	NA	NA	NA	NA		-1.5		
AT4G37910	-2.6	-2.1	-1.9	-1.3	NA	NA				
AT4G37920	-2.4	-2.6	-2.7	-2.7	NA	NA				
AT4G37925	-4	-7.1	-7.4	-7.4	NA	NA				
AT4G37930	NA	-2.2	-3.6	-5.1	NA	NA				
AT4G37950	-4.6	-5	-4.5	-5.4	-1.1	NA				
AT4G38000	-2.6	-3.9	-4.7	-5.6	NA	NA				
AT4G38010	-1.2	NA	NA	NA	NA	NA				
AT4G38020	-1.3	-1.5	-1.4	NA	NA	NA				
AT4G38060	NA	NA	NA	-1.7	NA	NA				
AT4G38070	-2.8	-5.1	-4.9	-7.5	NA	NA				
AT4G38080	3.2	5.9	2.7	NA	NA	NA				
AT4G38090	NA	NA	NA	1.2	NA	NA				
AT4G38100	-1.5	-1.5	-1.2	-1.2	NA	NA				
AT4G38150	-2.1	-1.8	-1.4	NA	NA	NA				
AT4G38160	-3	-3.5	-4.3	-5.3	NA	NA				
AT4G38190	-2.4	NA	NA	NA	NA	NA				
AT4G38210	NA	NA	NA	-1.7	NA	-1.1	-1.5			
AT4G38225	NA	NA	NA	1.2	NA	NA				
AT4G38230	NA	1.3	2.3	2.8	NA	NA				
AT4G38240	NA	NA	1.4	1.5	NA	NA				
AT4G38250	NA	2.2	2.4	2.2	NA	NA				
AT4G38260	1.2	1.2	NA	NA	NA	NA				
AT4G38270	NA	NA	NA	1.1	NA	NA				
AT4G38300	NA	3.3	3.7	1.8	NA	NA	-1.2			
AT4G38320	NA	NA	NA	-1.5	NA	NA				
AT4G38330	NA	NA	NA	-2	NA	NA				
AT4G38350	1.5	1.5	1.4	1.3	NA	NA				
AT4G38360	NA	NA	1.4	2	NA	NA				
AT4G38370	-2.3	-2.6	-2.7	-3.5	NA	NA				
AT4G38380	-1.8	NA	NA	2.9	NA	NA	-1.1			
AT4G38400	NA	NA	NA	4.9	NA	NA		-1.3		
AT4G38410	-1.3	-2.3	-2.3	-2.8	-1.8	NA				
AT4G38420	NA	NA	NA	NA	NA	NA	1.3			
AT4G38430	NA	NA	-1.2	-2.9	NA	NA				
AT4G38440	NA	NA	NA	1.4	NA	NA				
AT4G38460	NA	NA	NA	NA	NA	NA			-1.3	
AT4G38470	NA	NA	1.4	NA	NA	NA				
AT4G38490	NA	-1.4	-1.3	NA	NA	NA				
AT4G38500	NA	1.1	NA	NA	NA	NA				
AT4G38540	NA	NA	2.8	6.3	NA	NA		-1.4		
AT4G38545	NA	NA	1.2	NA	NA	NA				
AT4G38550	NA	-3	NA	NA	NA	NA				
AT4G38552	NA	NA	NA	1.2	NA	NA				
AT4G38570	1.7	1.6	1.5	1.3	NA	NA				
AT4G38580	2.2	2	2.3	3.3	1.1	NA				
AT4G38600	NA	NA	1.2	1.5	NA	NA				
AT4G38620	NA	NA	-1.2	-7.7	NA	NA	1.3			
AT4G38640	1.2	1.6	1.7	1.9	NA	NA				
AT4G38650	-3	-4.3	-4.7	-4.2	NA	NA				
AT4G38660	-1.1	-2.4	-4.3	-7.8	NA	NA	1.1			
AT4G38680	-1.8	-1.8	-1.8	-1.3	NA	NA				
AT4G38690	NA	NA	NA	-3	NA	NA				
AT4G38710	-1.2	-1.2	NA	NA	NA	NA				
AT4G38730	-1.1	NA	NA	-3.5	NA	NA				
AT4G38740	NA	NA	1.4	2	NA	NA				
AT4G38770	-1.7	-2.4	-3.4	-2.5	NA	NA				
AT4G38780	NA	NA	NA	2.2	NA	NA				
AT4G38810	4.8	6.9	8	8.8	NA	NA				
AT4G38840	NA	NA	-3.6	-3.5	NA	NA				
AT4G38890	-1.6	-1.6	-1.4	-1.2	NA	NA				
AT4G38900	NA	1.1	1.1	NA	NA	NA				
AT4G38910	2.1	2.2	2.3	2.1	NA	NA				
AT4G38932	NA	1.3	1.6	2.5	NA	NA				
AT4G38940	NA	NA	NA	1.4	NA	NA				
AT4G38950	NA	-2.6	-4.1	-7.1	NA	NA				
AT4G38970	NA	-2.5	-4.7	-7.1	NA	NA	1.4			
AT4G38980	NA	NA	NA	1.1	NA	NA				
AT4G39010	NA	NA	-2.2	-5.8	NA	NA				
AT4G39030	NA	1.9	3	5.1	NA	NA	-1.7	-1.2		
AT4G39040	-1.8	-2.4	-1.9	-2.1	NA	NA				
AT4G39050	NA	NA	NA	-1.9	NA	NA				
AT4G39080	NA	1.1	1.1	NA	NA	NA				
AT4G39090	-3.2	-2.5	-5.3	-7.1	NA	NA				
AT4G39100	NA	NA	NA	1.5	NA	NA				
AT4G39120	-2.4	-2.7	-2.3	-1.4	NA	NA		1.4		
AT4G39130	NA	4.1	7.1	11.2	NA	3.9	1.4	1.2		2.4
AT4G39140	1.1	1.6	1.9	2.1	NA	NA				
AT4G39150	NA	-1.1	-1.2	-3.4	NA	NA				
AT4G39160	NA	NA	NA	1.1	NA	NA				
AT4G39180	NA	NA	NA	1.6	NA	NA				
AT4G39190	NA	-2.3	-4.5	-6.1	NA	NA				
AT4G39200	-2.1	-2.4	-2.3	-2.6	NA	NA				
AT4G39210	-1.7	NA	NA	NA	NA	NA				
AT4G39230	NA	NA	-2.2	-2.7	NA	NA	1.2			
AT4G39260	NA	NA	NA	2.2	NA	NA				
AT4G39280	-1.2	-1.7	-1.7	-1.9	NA	NA				
AT4G39300	-2.1	-2	-1.5	NA	-1.1	NA		-1.1		
AT4G39330	-1.1	-3.1	-4.8	-7.6	NA	NA				
AT4G39350	2.6	3.4	3.2	2	NA	NA				
AT4G39361	NA	1.3	1.9	1.3	NA	NA				
AT4G39363	1.1	2.2	2.4	2.2	NA	NA				
AT4G39364	NA	NA	1.4	1.6	NA	NA				
AT4G39380	-2.2	-3	-3	-2.5	NA	NA				
AT4G39404	NA	NA	NA	3.1	NA	NA				
AT4G39420	NA	NA	NA	1.4	NA	NA				
AT4G39460	-1.1	-2	-2.4	-2.5	NA	NA				
AT4G39470	-2.2	-2	-1.5	NA	NA	NA				
AT4G39500	2.1	2.8	3.4	3.7	NA	NA				
AT4G39510	NA	-1.4	-3.4	-7.2	NA	NA				
AT4G39530	NA	NA	-1.2	NA	NA	NA				
AT4G39540	NA	NA	NA	-2.3	NA	NA				
AT4G39550	-1.1	NA	-1.1	-2.2	NA	NA				
AT4G39570	NA	NA	NA	-2.6	NA	NA				
AT4G39580	NA	NA	-4.6	NA	NA	NA				
AT4G39600	NA	NA	NA	-1.4	NA	NA				
AT4G39610	-2.3	-3.8	-3.6	-5.6	NA	NA				
AT4G39620	-1.3	-1.7	-1.6	-2	NA	NA				
AT4G39630	-3	-5.6	-7.4	-7.2	NA	NA				
AT4G39650	-4.5	-6	-6.3	-6.3	NA	NA				
AT4G39670	-3	-2.7	-3.6	NA	NA	NA				
AT4G39675	8.1	10.8	11.8	13.3	NA	NA				
AT4G39700	NA	NA	NA	NA	NA	1.9	3.8	3		
AT4G39710	NA	-1.4	-3.7	-8.2	NA	-1.7			-2	-1.5
AT4G39730	2	2.8	2.6	1.6	NA	NA				
AT4G39740	-1.9	-1.5	-1.3	NA	NA	NA				
AT4G39760	-3.7	-4.1	-4.4	-4.4	NA	NA				
AT4G39770	NA	NA	NA	-3.9	NA	NA				
AT4G39790	-1.3	-1.8	-2.7	-4.8	NA	NA				
AT4G39795	NA	-3.1	-4.1	-4.1	NA	NA				
AT4G39800	1.3	1.5	NA	NA	NA	NA				
AT4G39830	-1.6	-2.7	-3.1	-5.1	NA	NA				
AT4G39840	2.4	3.2	3.5	3	NA	NA				
AT4G39850	NA	NA	1.3	2.4	NA	NA				
AT4G39860	-1.7	-3.1	-3.4	-2.8	NA	NA	1.2			
AT4G39870	1.4	1.5	1.6	2	NA	NA				
AT4G39880	-1.5	-1.5	-1.4	NA	NA	NA				
AT4G39890	NA	1.8	4	6.6	NA	NA	-1.4			
AT4G39900	1.3	NA	NA	-3.3	NA	NA				
AT4G39917	-3.6	-3.9	-4.1	-4.2	NA	NA				
AT4G39920	NA	NA	-1.1	-1.6	NA	NA				
AT4G39925	1.5	1.7	2.2	2.1	NA	NA				
AT4G39930	NA	NA	1.5	NA	NA	NA				
AT4G39952	-1.8	NA	NA	NA	NA	NA				
AT4G39955	3.4	4.1	4.7	4.2	NA	NA	-1.3			
AT4G39960	-1.6	-1.7	-1.5	-1.7	NA	NA				
AT4G39970	1.5	NA	NA	-1.1	NA	NA				
AT4G39980	1.3	1.3	NA	NA	NA	NA				
AT4G40000	-1.6	-1.3	-1.4	-1.7	NA	NA				
AT4G40042	NA	NA	-1.5	-2.7	NA	NA				
AT4G40050	NA	NA	1.3	1.7	NA	NA				
AT4G40060	NA	NA	NA	-1.8	NA	NA	-1.1			
AT4G40065	5.8	8.8	9.2	9	NA	NA				
AT4G40070	NA	1.9	1.8	3.4	NA	NA				
AT5G01010	NA	NA	NA	1.1	NA	NA				
AT5G01015	NA	NA	-3.6	NA	NA	NA				
AT5G01030	1.3	2.3	3	3.2	NA	NA				
AT5G01075	NA	NA	NA	-3.2	NA	NA				
AT5G01090	NA	NA	NA	-3.3	NA	NA				
AT5G01100	NA	NA	-3.1	-6.5	NA	NA				
AT5G01120	-2.8	-5	-6.1	-9.9	NA	1.1	1.8			
AT5G01150	-3.6	-5.3	-7.7	-7.7	-1.2	NA				
AT5G01180	-2.9	NA	-2.9	NA	-1.2	NA				
AT5G01200	-2.6	NA	NA	NA	NA	NA				
AT5G01210	NA	NA	NA	5.1	NA	NA				
AT5G01230	NA	-1.1	NA	NA	NA	NA				
AT5G01240	NA	-1.8	-2.4	-4.4	NA	NA				
AT5G01290	NA	NA	1.3	2.3	NA	NA				
AT5G01300	4.1	4	5	7.6	2.7	NA				
AT5G01340	-1.1	-1.2	-1.8	-3	NA	NA				
AT5G01370	NA	-2	-3.6	-8.6	NA	NA				
AT5G01410	-1.8	-1.3	NA	NA	NA	NA				
AT5G01420	-3.3	-6.3	-8.3	-8.4	NA	NA				
AT5G01445	-1.3	NA	NA	NA	NA	NA				
AT5G01450	NA	1.2	1.4	2	NA	NA				
AT5G01470	-1.4	NA	NA	NA	NA	NA				
AT5G01480	NA	NA	1.9	NA	NA	NA				
AT5G01490	NA	7.2	9.3	10.4	NA	NA				
AT5G01500	1.5	1.6	2.1	2.7	NA	NA				
AT5G01510	NA	NA	1.1	1.3	NA	NA				
AT5G01520	4.2	8.2	11	13.5	NA	NA	-1.7			
AT5G01530	NA	-3.3	-4.6	-2.9	NA	NA				
AT5G01560	1.3	NA	NA	NA	NA	NA				
AT5G01570	-1.5	-2.1	-1.8	-4.2	NA	NA				
AT5G01580	-1.1	-1.3	-2.2	-3	NA	NA				
AT5G01590	-2.1	-2.7	-3.1	-4	NA	NA				
AT5G01595	NA	-3.1	-3.3	NA	NA	NA				
AT5G01600	-1.7	-3.7	-4.2	-1.4	NA	NA		-3.4		
AT5G01610	-4.7	-6.4	-6.1	-8.1	NA	NA				
AT5G01620	NA	-1.1	-1.5	-4.4	NA	NA				
AT5G01630	-2	-2.7	-4.3	-5.8	NA	NA				
AT5G01640	1.3	NA	NA	-2.4	NA	NA				
AT5G01650	NA	NA	-1.4	-2.4	NA	NA				
AT5G01660	NA	NA	NA	-1.9	NA	NA				
AT5G01670	6.1	7.7	8.9	10.7	2.3	NA				
AT5G01680	2.9	5.5	8.5	11.9	NA	NA				
AT5G01700	NA	1.7	1.3	NA	NA	NA				
AT5G01715	1.9	NA	NA	NA	NA	NA				
AT5G01720	1.5	1.6	1.1	2.1	NA	NA				
AT5G01730	NA	NA	1.6	1.7	NA	NA				
AT5G01732	NA	NA	2.7	NA	NA	NA				
AT5G01750	-1.4	-4	-4.5	-2	NA	NA				
AT5G01760	-1.1	-2.7	-3.5	-2.7	NA	NA				
AT5G01770	NA	NA	NA	-3	NA	NA				
AT5G01780	1.7	1.5	1.3	NA	NA	NA				
AT5G01790	1.3	NA	NA	-3.9	NA	NA				
AT5G01800	NA	NA	-1.5	-2.5	NA	NA				
AT5G01820	NA	NA	1.2	1.6	NA	NA				
AT5G01830	1.8	NA	NA	NA	NA	NA				
AT5G01840	2	1.6	NA	-2.2	NA	NA				
AT5G01850	NA	NA	-1.5	-5.3	NA	NA				
AT5G01870	NA	-2.6	-5	-5.8	NA	-1.5				
AT5G01880	NA	NA	NA	4.1	NA	NA				
AT5G01881	-2.9	-4.5	-2.5	NA	NA	NA				
AT5G01890	NA	NA	-1.2	-4	NA	NA				
AT5G01910	-2.9	-4.9	-6.2	-7.9	NA	NA				
AT5G01920	NA	NA	NA	-2	NA	NA				
AT5G01940	-1.7	-1.6	NA	NA	NA	NA	-1.7	-1.7		
AT5G01950	NA	NA	NA	-1.9	NA	NA				
AT5G01960	NA	NA	1.2	1.4	NA	NA				
AT5G01970	NA	NA	NA	-1.9	NA	NA				
AT5G01990	1.8	2	2.2	2.4	NA	NA				
AT5G02010	NA	NA	-1.2	-1.2	NA	NA				
AT5G02020	1.4	2.1	3.2	4.5	NA	NA				
AT5G02030	NA	NA	-1.6	-3.2	NA	NA				
AT5G02050	-2.9	-2.8	-2.5	NA	-1.1	NA	-1.4	-2.3		
AT5G02060	NA	NA	1.1	1.1	NA	NA				
AT5G02070	1.2	1.8	2.3	1.9	NA	NA				
AT5G02100	NA	NA	NA	-1.6	NA	NA				
AT5G02120	NA	NA	NA	-2.2	NA	NA				
AT5G02130	NA	NA	1.5	1.7	NA	NA				
AT5G02150	NA	-1.1	NA	NA	NA	NA				
AT5G02160	NA	-2	-2.7	-6.4	NA	NA				
AT5G02180	4.8	6.2	5.4	NA	NA	NA	1.3	1.9		
AT5G02220	-2.8	-5	-6	-5.2	NA	NA				
AT5G02230	7.4	8.6	8.9	7.3	3.5	2.1	1.5	1.5	2.9	2.3
AT5G02260	1.5	1.5	NA	-3.1	NA	NA				
AT5G02290	NA	NA	NA	1.2	NA	NA				
AT5G02310	NA	NA	NA	1.1	NA	NA				
AT5G02320	NA	NA	NA	1.4	NA	NA				
AT5G02350	NA	-1.9	-1.8	-2	NA	NA				
AT5G02360	NA	NA	NA	NA	NA	NA	1.6			
AT5G02370	NA	NA	-1.4	-2.5	NA	NA				
AT5G02380	2.2	2.8	2.1	1.1	NA	NA				
AT5G02400	NA	NA	2.4	NA	NA	NA				
AT5G02420	4.4	5.5	6	6.1	NA	NA				
AT5G02430	-1.2	-3.5	-5.8	-5.8	NA	NA				
AT5G02440	-1.9	-3.4	-5.7	-9.5	NA	NA				
AT5G02450	-2.2	-2.4	-2.3	-3.3	NA	NA				
AT5G02460	1.2	NA	NA	NA	NA	NA				
AT5G02480	NA	1.4	2.1	3.2	NA	NA				
AT5G02490	-3.4	-5	-5.4	-5	NA	NA		-1.7		
AT5G02500	-2	-2.1	-1.9	-1.7	NA	NA				
AT5G02502	NA	-1.4	-1.5	-1.4	NA	NA				
AT5G02520	-2.5	-3.6	-3.6	-4.2	NA	NA				
AT5G02530	-1.6	-1.7	-1.3	NA	NA	NA				
AT5G02540	NA	1.3	1.3	NA	NA	NA				
AT5G02550	NA	-2.8	-4.9	-6.7	NA	NA	1.6			
AT5G02570	-3.3	-3.2	NA	NA	NA	NA				
AT5G02580	NA	3.2	5.6	8	NA	NA	-1.5			
AT5G02590	-1.7	-2.2	-2.1	-1.2	NA	NA				
AT5G02600	-2.9	-4	-5	-6.4	-2.6	NA				
AT5G02610	-1.4	-1.5	-1.4	-1.9	NA	NA				
AT5G02620	3.1	3.7	4	4.8	1.3	NA				
AT5G02630	NA	3.1	3.9	5.5	NA	NA				
AT5G02640	3.5	4.4	4.1	4	NA	NA				
AT5G02650	1.1	NA	NA	-1.1	NA	NA				
AT5G02680	NA	NA	NA	-2.1	NA	NA				
AT5G02710	-1.9	-2.5	-2.2	-2.1	NA	NA				
AT5G02720	2.5	3.2	3.8	3.4	NA	NA				
AT5G02750	3.4	5.7	7.2	8.9	NA	NA				
AT5G02760	NA	NA	NA	-2	NA	NA				
AT5G02790	NA	NA	NA	-2	NA	NA		1.1		
AT5G02800	NA	NA	1.2	1.1	NA	NA				
AT5G02810	1.5	1.5	2	1.7	NA	NA				
AT5G02820	-2.6	-3.5	-4.1	-4.8	NA	NA				
AT5G02850	NA	-1.1	NA	NA	NA	NA				
AT5G02860	-1.9	-2.8	-2.4	-1.7	NA	NA				
AT5G02870	-2.1	-2.5	-2.6	-3.6	NA	NA				
AT5G02880	1.6	2	2.5	2.8	NA	NA				
AT5G02890	-1.3	-3	-4.4	-5.9	NA	NA	1.6			
AT5G02910	1.2	1.4	1.9	2.1	NA	NA				
AT5G02940	NA	NA	NA	-3.5	NA	NA				
AT5G02950	-2.3	-2.7	-1.9	NA	NA	NA	-1.2			
AT5G02960	-1.7	-1.9	-1.9	-2.9	NA	NA				
AT5G02970	1.8	2.7	3	1.4	NA	NA				
AT5G03010	NA	NA	NA	NA	NA	NA	-1.3			
AT5G03030	NA	NA	NA	1.5	NA	NA				
AT5G03040	NA	1.3	1.6	1.5	NA	NA				
AT5G03050	NA	NA	NA	-2.2	NA	NA				
AT5G03060	-2	-2.4	-2.1	-3.1	NA	NA				
AT5G03070	NA	NA	1.4	2.2	NA	NA				
AT5G03080	1.2	1.5	1.2	1.3	NA	NA				
AT5G03090	NA	3.6	4.7	NA	NA	NA				
AT5G03120	5.7	6.2	6.5	5.3	1.7	NA				
AT5G03140	2.7	3.3	3.1	2.5	NA	NA				
AT5G03150	NA	NA	NA	-2.8	NA	NA				
AT5G03160	1.7	1.6	1.3	NA	NA	NA				
AT5G03180	NA	NA	1.5	3.2	NA	NA				
AT5G03190	NA	NA	NA	-2.1	NA	NA		1.1		
AT5G03200	2.7	2.7	2.1	1.4	NA	NA				
AT5G03204	NA	4.3	4.9	7	NA	NA				
AT5G03210	1.8	3.2	3.9	5	NA	NA				
AT5G03230	-1.9	-2.1	-3	-5.1	NA	NA				
AT5G03240	NA	1.3	1.1	1.3	NA	NA				
AT5G03270	NA	3.9	NA	NA	NA	NA				
AT5G03280	1.2	1.5	1.3	1.1	NA	NA				
AT5G03285	NA	2.9	3.7	5.6	NA	NA				
AT5G03300	NA	-1.2	-2	-3	NA	NA				
AT5G03320	NA	NA	NA	NA	NA	NA			-1.2	
AT5G03340	NA	NA	NA	1.1	NA	NA				
AT5G03350	-5.3	-4	-8	-9	NA	NA				
AT5G03370	-2.3	-2.7	-2	NA	NA	NA				
AT5G03380	NA	1.6	2.6	3.4	NA	NA				
AT5G03390	-2.6	-3	-4.8	-7.6	NA	-1.6			-3.2	-2.7
AT5G03440	NA	NA	-1.1	-1.5	NA	NA				
AT5G03460	NA	1.2	1.3	2.1	NA	NA				
AT5G03490	NA	NA	1.2	2.4	NA	NA				
AT5G03495	NA	NA	NA	4.7	NA	NA	1.5			
AT5G03500	NA	NA	1.3	2	NA	NA				
AT5G03530	2.3	2.3	2.2	2.2	NA	NA				
AT5G03555	2.4	3.3	3.4	3.1	NA	NA				
AT5G03560	-1.3	NA	NA	2.8	NA	1.1				
AT5G03570	NA	3.3	NA	NA	NA	NA				
AT5G03610	NA	2.1	2.7	3.8	NA	NA	-1.7			
AT5G03630	-1.1	-1.3	-2	-3.7	NA	NA				
AT5G03640	7	10.3	11.6	13.2	NA	NA				
AT5G03650	NA	NA	-1.6	-4.3	NA	NA		1.2		
AT5G03660	NA	1.2	1.7	2.3	NA	NA				
AT5G03680	NA	NA	NA	-1.4	NA	NA				
AT5G03720	-3.4	-3.4	-2.9	-3.3	NA	NA				
AT5G03730	NA	NA	1.4	2.1	NA	NA				
AT5G03740	-1.6	-1.7	-1.5	NA	NA	NA				
AT5G03760	4.9	4.9	3.6	-2.4	1.9	NA	1.1			
AT5G03780	NA	NA	NA	-1.3	NA	NA				
AT5G03790	-2.1	-3.7	-5.1	-5.6	NA	NA				
AT5G03795	1.2	1.1	NA	NA	NA	NA				
AT5G03800	-1.3	NA	NA	NA	NA	NA				
AT5G03810	-3.5	-3.7	-4	-4	NA	NA				
AT5G03820	-5.6	-6.3	-8.1	-6.7	NA	3.8	5.9	2		
AT5G03830	1.9	2	2.4	1.8	NA	NA				
AT5G03840	-3	-3.2	-3.5	NA	NA	NA				
