Gene ID	'10 day' vs '7 day' in 'wild type' .foldChange	'12 day' vs '7 day' in 'wild type' .foldChange	'13 day' vs '7 day' in 'wild type' .foldChange	'15 day' vs '7 day' in 'wild type' .foldChange	'8 day' vs '7 day' in 'wild type' .foldChange	'val1 mutant' vs 'wild type' at '10 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '13 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '15 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '7 days after pollination' .foldChange	'val1 mutant' vs 'wild type' at '8 days after pollination' .foldChange
AT1G04820	NA	-2.2	-3.6	-7.6	NA	NA				
AT1G04830	1.5	1.8	2.3	2.5	NA	NA				
AT1G04840	-1.1	-1.7	NA	NA	NA	NA				
AT1G04870	-3.1	-3.2	-3.1	-3	NA	NA				
AT1G04880	-3.4	-2.4	-2.6	-4.2	-2.3	NA	1.8	1.3		1.1
AT1G04900	NA	NA	NA	-1.8	NA	NA				
AT1G04910	NA	NA	NA	1.2	NA	NA				
AT1G04920	8.2	8.1	7.9	7.9	2.4	NA				
AT1G04940	-1.4	-2	-2.1	-1.7	NA	NA				
AT1G04945	-1.2	NA	NA	1.1	NA	NA				
AT1G04960	NA	NA	1.1	1.5	NA	NA				
AT1G04970	1.1	1.6	1.8	2	NA	NA				
AT1G04980	1.3	NA	NA	NA	NA	NA				
AT1G04985	NA	NA	NA	1.1	NA	NA				
AT1G04990	3.3	3.4	2.7	NA	1.1	NA		1.1		
AT1G05000	1.6	2.4	1.5	1.4	NA	NA	1.8	1.5		
AT1G05010	NA	NA	-1.5	-3.5	NA	NA				
AT1G05020	1.6	2.3	2.4	1.8	NA	NA				
AT1G05030	1.1	1.7	1.8	2	NA	NA				
AT1G05060	NA	1.7	2.3	3.5	NA	NA				
AT1G05065	1.4	2.1	2.6	1.8	NA	NA				
AT1G05070	NA	1.1	NA	NA	NA	NA				
AT1G05090	1.1	NA	NA	NA	NA	NA				
AT1G05100	4.3	7.3	7	7	NA	NA				
AT1G05120	NA	NA	NA	1.6	NA	NA				
AT1G05135	-3	-2.5	-4.1	-3.4	NA	NA	1.3			1.3
AT1G05150	NA	1.1	2	2.3	NA	NA				
AT1G05160	2.7	2.9	2.2	NA	NA	NA				
AT1G05170	1.3	1.2	1.6	2	NA	NA				
AT1G05180	-1.5	-1.4	-1.1	NA	NA	NA				
AT1G05190	-2.8	-4.3	-4.7	-5.8	NA	NA				
AT1G05200	-1.3	NA	-1.8	-3.4	NA	NA				
AT1G05205	NA	NA	NA	-1.1	NA	NA				
AT1G05210	-1.8	-4	-4.6	-8.4	NA	NA				
AT1G05220	1.9	NA	-2.5	-6.9	NA	NA				
AT1G05230	NA	NA	-1.4	-2.1	NA	NA				
AT1G05260	NA	NA	-3.1	-6	NA	NA				
AT1G05270	NA	NA	NA	1.2	NA	NA				
AT1G05300	4.3	4.7	4	3	1.5	NA				
AT1G05320	1.9	2	1.6	NA	NA	NA				
AT1G05330	NA	NA	NA	8.8	NA	NA				
AT1G05340	2.4	4	6.5	10.7	NA	NA	-1.3			
AT1G05350	NA	NA	NA	-1.5	NA	NA				
AT1G05370	NA	-3.9	-5.8	-4.8	NA	NA				
AT1G05380	NA	NA	1.1	1.9	NA	NA				
AT1G05385	NA	-1.6	-1.8	-2.2	NA	NA				
AT1G05400	NA	NA	NA	2.3	NA	NA				
AT1G05420	3.8	4	3.4	2.8	NA	NA				
AT1G05440	-3	-5.7	-5.9	-7.4	NA	NA				
AT1G05450	4.2	6.8	5.6	4.9	NA	NA				
AT1G05460	NA	NA	NA	-1.3	NA	NA				
AT1G05470	NA	-1.5	-2.9	-4.9	NA	NA				
AT1G05490	-1.8	NA	-1.6	-2.2	NA	NA				
AT1G05510	10.5	12.8	13.6	14.8	1.5	NA				
